short_name;longitude;latitude
F2-0325;32.01816;3.48194
F3-0507;32.3544;2.84837
F3-0509;32.3544;2.84837
F3-0510;32.33858;2.81746
F3-0511;32.33858;2.81746
F3-0512;32.33858;2.81746
F3-0513;32.33858;2.81746
F3-0514;32.35563;2.8421
F3-0515;32.35563;2.8421
F3-0517;32.35563;2.8421
F3-0518;32.40484;2.69135
F3-0520;32.40484;2.69135
F3-0521;32.40484;2.69135
F3-0523;32.41719;2.69807
F4-0586;32.47449;2.03819
F4-0587;32.47449;2.03819
F4-0588;32.47449;2.03819
F4-0589;32.47449;2.03819
F4-0591;32.45554;2.0073
F4-0592;32.45554;2.0073
F4-0593;32.45554;2.0073
F4-0594;32.45554;2.0073
F4-0596;32.45656;2.02553
F4-0597;32.45656;2.02553
F4-0598;32.45656;2.02553
F4-0600;32.45656;2.02553
F4-0601;32.4485;2.04715
F4-0602;32.4485;2.04715
F5-0541;32.09286;1.67515
F5-0542;32.09286;1.67515
F5-0545;32.09286;1.67515
F5-0646;32.09286;1.67515
F5-0648;32.09286;1.67515
F5-0649;32.09286;1.67515
F5-0650;32.09286;1.67515
F5-0651;32.10437;1.43451
F5-0652;32.10437;1.43451
F5-0653;32.10437;1.43451
F5-0654;32.10437;1.43451
F5-0655;32.10437;1.43451
F5-0656;32.09648;1.39733
F5-0657;32.09648;1.39733
F5-0658;32.09648;1.39733
F5-0660;32.09648;1.39733
F5-0661;32.11321;1.40892
F5-0662;32.11321;1.40892
F5-0663;32.11321;1.40892
F5-0665;32.11321;1.40892
F6-0526;32.4606;1.14217
F6-0528;32.4606;1.14217
F6-0529;32.4606;1.14217
F6-0530;32.4606;1.14217
F6-0532;32.46521;1.11216
F6-0533;32.46521;1.11216
F6-0534;32.46521;1.11216
F6-0535;32.46521;1.11216
F6-0536;32.46764;1.13184
F6-0537;32.46764;1.13184
F6-0538;32.46764;1.13184
F6-0539;32.46764;1.13184
F6-0540;32.46764;1.13184
F7-0786;32.59753;0.4195
F7-0787;32.59753;0.4195
F7-0788;32.59753;0.4195
F7-0789;32.59753;0.4195
F7-0790;32.59753;0.4195
F7-0792;32.6286;0.52169
F7-0793;32.6286;0.52169
F7-0794;32.6286;0.52169
F7-0795;32.6286;0.52169
F7-0796;32.50849;0.39231
F7-0797;32.50849;0.39231
F7-0798;32.50849;0.39231
F7-0800;32.50849;0.39231
F7-0801;32.58998;0.49337
F7-0802;32.58998;0.49337
F7-0803;32.58998;0.49337
F7-0804;32.58998;0.49337
F7-0805;32.58998;0.49337
G2-0434;33.05016;3.47267
G2-0435;33.05016;3.47267
G2-0436;33.05016;3.47267
G2-0438;33.06682;3.51463
G2-0440;33.06682;3.51463
G2-0441;33.06682;3.51463
G2-0442;33.06202;3.49713
G2-0444;33.06202;3.49713
G2-0448;32.94359;3.35815
G2-0449;32.94359;3.35815
